GridDimension: 10x10
Iteration,CellX,CellY,Susceptible,Infected,Recovered
0, 0, 0, 39, 0, 0
0, 0, 1, 41, 0, 0
0, 0, 2, 33, 0, 0
0, 0, 3, 29, 0, 0
0, 0, 4, 34, 0, 0
0, 0, 5, 31, 0, 0
0, 0, 6, 37, 0, 0
0, 0, 7, 31, 0, 0
0, 0, 8, 27, 0, 0
0, 0, 9, 34, 0, 0
0, 1, 0, 29, 0, 0
0, 1, 1, 40, 0, 0
0, 1, 2, 39, 0, 0
0, 1, 3, 29, 0, 0
0, 1, 4, 38, 0, 0
0, 1, 5, 35, 0, 0
0, 1, 6, 35, 0, 0
0, 1, 7, 28, 0, 0
0, 1, 8, 35, 0, 0
0, 1, 9, 32, 0, 0
0, 2, 0, 37, 0, 0
0, 2, 1, 40, 0, 0
0, 2, 2, 27, 0, 0
0, 2, 3, 43, 0, 0
0, 2, 4, 35, 0, 0
0, 2, 5, 42, 0, 0
0, 2, 6, 29, 0, 0
0, 2, 7, 37, 0, 0
0, 2, 8, 36, 0, 0
0, 2, 9, 37, 0, 0
0, 3, 0, 38, 0, 0
0, 3, 1, 35, 0, 0
0, 3, 2, 26, 0, 0
0, 3, 3, 22, 0, 0
0, 3, 4, 28, 0, 0
0, 3, 5, 32, 0, 0
0, 3, 6, 40, 0, 0
0, 3, 7, 38, 0, 0
0, 3, 8, 39, 0, 0
0, 3, 9, 41, 0, 0
0, 4, 0, 39, 0, 0
0, 4, 1, 32, 0, 0
0, 4, 2, 35, 0, 0
0, 4, 3, 36, 0, 0
0, 4, 4, 30, 10, 0
0, 4, 5, 27, 0, 0
0, 4, 6, 27, 0, 0
0, 4, 7, 25, 0, 0
0, 4, 8, 42, 0, 0
0, 4, 9, 22, 0, 0
0, 5, 0, 43, 0, 0
0, 5, 1, 24, 0, 0
0, 5, 2, 44, 0, 0
0, 5, 3, 34, 0, 0
0, 5, 4, 35, 0, 0
0, 5, 5, 42, 0, 0
0, 5, 6, 30, 0, 0
0, 5, 7, 41, 0, 0
0, 5, 8, 34, 0, 0
0, 5, 9, 39, 0, 0
0, 6, 0, 39, 0, 0
0, 6, 1, 33, 0, 0
0, 6, 2, 28, 0, 0
0, 6, 3, 36, 0, 0
0, 6, 4, 27, 0, 0
0, 6, 5, 34, 0, 0
0, 6, 6, 41, 0, 0
0, 6, 7, 32, 0, 0
0, 6, 8, 36, 0, 0
0, 6, 9, 39, 0, 0
0, 7, 0, 41, 0, 0
0, 7, 1, 41, 0, 0
0, 7, 2, 26, 0, 0
0, 7, 3, 31, 0, 0
0, 7, 4, 39, 0, 0
0, 7, 5, 30, 0, 0
0, 7, 6, 34, 0, 0
0, 7, 7, 27, 0, 0
0, 7, 8, 33, 0, 0
0, 7, 9, 40, 0, 0
0, 8, 0, 29, 0, 0
0, 8, 1, 41, 0, 0
0, 8, 2, 29, 0, 0
0, 8, 3, 40, 0, 0
0, 8, 4, 35, 0, 0
0, 8, 5, 36, 0, 0
0, 8, 6, 33, 0, 0
0, 8, 7, 21, 0, 0
0, 8, 8, 33, 0, 0
0, 8, 9, 33, 0, 0
0, 9, 0, 33, 0, 0
0, 9, 1, 41, 0, 0
0, 9, 2, 25, 0, 0
0, 9, 3, 29, 0, 0
0, 9, 4, 29, 0, 0
0, 9, 5, 38, 0, 0
0, 9, 6, 38, 0, 0
0, 9, 7, 37, 0, 0
0, 9, 8, 31, 0, 0
0, 9, 9, 35, 0, 0
1, 0, 0, 39, 0, 0
1, 0, 1, 41, 0, 0
1, 0, 2, 33, 0, 0
1, 0, 3, 29, 0, 0
1, 0, 4, 37, 0, 0
1, 0, 5, 30, 0, 0
1, 0, 6, 37, 0, 0
1, 0, 7, 30, 0, 0
1, 0, 8, 27, 0, 0
1, 0, 9, 35, 0, 0
1, 1, 0, 29, 0, 0
1, 1, 1, 40, 0, 0
1, 1, 2, 40, 0, 0
1, 1, 3, 29, 0, 0
1, 1, 4, 37, 0, 0
1, 1, 5, 36, 0, 0
1, 1, 6, 35, 0, 0
1, 1, 7, 27, 0, 0
1, 1, 8, 37, 0, 0
1, 1, 9, 30, 0, 0
1, 2, 0, 37, 0, 0
1, 2, 1, 40, 0, 0
1, 2, 2, 25, 0, 0
1, 2, 3, 41, 0, 0
1, 2, 4, 35, 0, 0
1, 2, 5, 44, 0, 0
1, 2, 6, 29, 0, 0
1, 2, 7, 37, 0, 0
1, 2, 8, 36, 0, 0
1, 2, 9, 38, 0, 0
1, 3, 0, 38, 0, 0
1, 3, 1, 34, 0, 0
1, 3, 2, 27, 0, 0
1, 3, 3, 24, 0, 0
1, 3, 4, 27, 0, 0
1, 3, 5, 33, 0, 0
1, 3, 6, 37, 0, 0
1, 3, 7, 38, 0, 0
1, 3, 8, 39, 0, 0
1, 3, 9, 39, 0, 0
1, 4, 0, 37, 0, 0
1, 4, 1, 32, 0, 0
1, 4, 2, 35, 0, 0
1, 4, 3, 35, 0, 0
1, 4, 4, 15, 22, 3
1, 4, 5, 27, 0, 0
1, 4, 6, 27, 0, 0
1, 4, 7, 25, 0, 0
1, 4, 8, 42, 0, 0
1, 4, 9, 25, 0, 0
1, 5, 0, 45, 0, 0
1, 5, 1, 24, 0, 0
1, 5, 2, 42, 0, 0
1, 5, 3, 34, 0, 0
1, 5, 4, 35, 0, 0
1, 5, 5, 43, 0, 0
1, 5, 6, 30, 0, 0
1, 5, 7, 39, 0, 0
1, 5, 8, 32, 0, 0
1, 5, 9, 39, 0, 0
1, 6, 0, 39, 0, 0
1, 6, 1, 34, 0, 0
