GridDimension: 20x20
Iteration,CellX,CellY,Susceptible,Infected,Recovered
0, 0, 0, 95.0557, 0, 0
0, 0, 1, 90.8702, 0, 0
0, 0, 2, 90.3777, 0, 0
0, 0, 3, 96.4449, 0, 0
0, 0, 4, 90.3208, 0, 0
0, 0, 5, 91.8183, 0, 0
0, 0, 6, 88.5587, 0, 0
0, 0, 7, 90.2718, 0, 0
0, 0, 8, 93.4163, 0, 0
0, 0, 9, 92.5822, 0, 0
0, 0, 10, 96.017, 0, 0
0, 0, 11, 96.2525, 0, 0
0, 0, 12, 91.4218, 0, 0
0, 0, 13, 95.3693, 0, 0
0, 0, 14, 88.818, 0, 0
0, 0, 15, 92.0191, 0, 0
0, 0, 16, 88.1065, 0, 0
0, 0, 17, 89.7311, 0, 0
0, 0, 18, 87.4043, 0, 0
0, 0, 19, 89.8759, 0, 0
0, 1, 0, 89.6289, 0, 0
0, 1, 1, 89.0146, 0, 0
0, 1, 2, 90.1103, 0, 0
0, 1, 3, 88.953, 0, 0
0, 1, 4, 95.9702, 0, 0
0, 1, 5, 89.9691, 0, 0
0, 1, 6, 94.9891, 0, 0
0, 1, 7, 88.1438, 0, 0
0, 1, 8, 88.9281, 0, 0
0, 1, 9, 93.1391, 0, 0
0, 1, 10, 90.6733, 0, 0
0, 1, 11, 95.6029, 0, 0
0, 1, 12, 90.0708, 0, 0
0, 1, 13, 92.2926, 0, 0
0, 1, 14, 89.6709, 0, 0
0, 1, 15, 88.9278, 0, 0
0, 1, 16, 95.9742, 0, 0
0, 1, 17, 87.9318, 0, 0
0, 1, 18, 93.9948, 0, 0
0, 1, 19, 91.1765, 0, 0
0, 2, 0, 92.592, 0, 0
0, 2, 1, 88.19, 0, 0
0, 2, 2, 94.0502, 0, 0
0, 2, 3, 87.4661, 0, 0
0, 2, 4, 93.7142, 0, 0
0, 2, 5, 87.9357, 0, 0
0, 2, 6, 91.61, 0, 0
0, 2, 7, 94.1099, 0, 0
0, 2, 8, 93.4062, 0, 0
0, 2, 9, 90.3133, 0, 0
0, 2, 10, 91.8217, 0, 0
0, 2, 11, 95.8599, 0, 0
0, 2, 12, 88.4092, 0, 0
0, 2, 13, 88.1418, 0, 0
0, 2, 14, 91.7741, 0, 0
0, 2, 15, 89.812, 0, 0
0, 2, 16, 87.9245, 0, 0
0, 2, 17, 87.7492, 0, 0
0, 2, 18, 93.1489, 0, 0
0, 2, 19, 89.1689, 0, 0
0, 3, 0, 92.4315, 0, 0
0, 3, 1, 92.6636, 0, 0
0, 3, 2, 93.0823, 0, 0
0, 3, 3, 96.0374, 0, 0
0, 3, 4, 87.4166, 0, 0
0, 3, 5, 93.0422, 0, 0
0, 3, 6, 89.9341, 0, 0
0, 3, 7, 89.1347, 0, 0
0, 3, 8, 88.7099, 0, 0
0, 3, 9, 88.3568, 0, 0
0, 3, 10, 94.7937, 0, 0
0, 3, 11, 90.6322, 0, 0
0, 3, 12, 92.6331, 0, 0
0, 3, 13, 88.2905, 0, 0
0, 3, 14, 93.6669, 0, 0
0, 3, 15, 91.9278, 0, 0
0, 3, 16, 96.1038, 0, 0
0, 3, 17, 91.8427, 0, 0
0, 3, 18, 88.8018, 0, 0
0, 3, 19, 95.2582, 0, 0
0, 4, 0, 94.9524, 0, 0
0, 4, 1, 90.5182, 0, 0
0, 4, 2, 90.6946, 0, 0
0, 4, 3, 87.6423, 0, 0
0, 4, 4, 87.9721, 0, 0
0, 4, 5, 95.6037, 0, 0
0, 4, 6, 88.3076, 0, 0
0, 4, 7, 93.9618, 0, 0
0, 4, 8, 95.8781, 0, 0
0, 4, 9, 88.5974, 0, 0
0, 4, 10, 89.2453, 0, 0
0, 4, 11, 88.9712, 0, 0
0, 4, 12, 94.2493, 0, 0
0, 4, 13, 87.4813, 0, 0
0, 4, 14, 92.2652, 0, 0
0, 4, 15, 89.3736, 0, 0
0, 4, 16, 89.8344, 0, 0
0, 4, 17, 90.2699, 0, 0
0, 4, 18, 93.0486, 0, 0
0, 4, 19, 95.6502, 0, 0
0, 5, 0, 92.4881, 0, 0
0, 5, 1, 88.5235, 0, 0
0, 5, 2, 95.7042, 0, 0
0, 5, 3, 94.678, 0, 0
0, 5, 4, 92.8409, 0, 0
0, 5, 5, 95.7689, 0, 0
0, 5, 6, 93.3082, 0, 0
0, 5, 7, 95.6057, 0, 0
0, 5, 8, 91.5836, 0, 0
0, 5, 9, 89.9044, 0, 0
0, 5, 10, 90.8766, 0, 0
0, 5, 11, 88.8869, 0, 0
0, 5, 12, 88.6055, 0, 0
0, 5, 13, 89.7908, 0, 0
0, 5, 14, 88.1989, 0, 0
0, 5, 15, 93.6271, 0, 0
0, 5, 16, 96.2206, 0, 0
0, 5, 17, 90.7733, 0, 0
0, 5, 18, 95.9294, 0, 0
0, 5, 19, 91.3851, 0, 0
0, 6, 0, 93.9002, 0, 0
0, 6, 1, 88.5176, 0, 0
0, 6, 2, 93.1884, 0, 0
0, 6, 3, 94.1636, 0, 0
0, 6, 4, 89.6681, 0, 0
0, 6, 5, 90.2256, 0, 0
0, 6, 6, 91.8245, 0, 0
0, 6, 7, 89.6788, 0, 0
0, 6, 8, 95.4791, 0, 0
0, 6, 9, 94.8889, 0, 0
0, 6, 10, 96.3085, 0, 0
0, 6, 11, 93.2953, 0, 0
0, 6, 12, 89.9792, 0, 0
0, 6, 13, 88.4495, 0, 0
0, 6, 14, 87.7128, 0, 0
0, 6, 15, 95.5906, 0, 0
0, 6, 16, 87.929, 0, 0
0, 6, 17, 90.5723, 0, 0
0, 6, 18, 96.0024, 0, 0
